Timestamp,System_Uptime,State,EAR,MAR,Pitch,Yaw,Roll,Risk,Attention,Blink_Count,Yawn_Count,Alert_Active,Latency_MS
2026-05-29 11:46:10,7.89,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,167.13
2026-05-29 11:46:11,8.93,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,87.44
2026-05-29 11:46:12,9.99,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,77.48
2026-05-29 11:46:13,11.00,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,72.77
2026-05-29 11:46:14,12.01,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,58.93
2026-05-29 11:46:15,13.06,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,55.08
2026-05-29 11:46:16,14.07,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,49.22
2026-05-29 11:46:17,15.09,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,47.66
2026-05-29 11:46:18,16.13,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,48.18
2026-05-29 11:46:19,17.19,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,48.68
2026-05-29 11:46:20,18.26,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,49.05
2026-05-29 11:46:21,19.31,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,49.19
2026-05-29 11:46:22,20.34,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,49.03
2026-05-29 11:46:23,21.39,CALIBRATING,0.000,0.000,0.0,0.0,0.0,0.40,100.0,0,0,0,47.76
2026-05-29 11:46:26,24.26,CALIBRATING,0.225,0.618,50.7,9.2,89.0,0.29,100.0,0,0,0,80.03
2026-05-29 11:46:27,25.32,CALIBRATING,0.242,0.610,49.3,14.4,-89.0,0.24,100.0,0,0,0,92.05
2026-05-29 11:46:28,26.62,CALIBRATING,0.235,0.621,49.0,8.4,-89.0,0.28,100.0,1,0,0,105.66
2026-05-29 11:46:30,27.79,CALIBRATING,0.248,0.631,48.4,6.1,-89.0,0.19,100.0,1,0,0,119.70
2026-05-29 11:46:31,28.88,CALIBRATING,0.257,0.657,48.7,6.7,-89.0,0.13,100.0,1,0,0,133.32
2026-05-29 11:46:32,29.99,CALIBRATING,0.259,0.655,48.8,7.6,-89.0,0.10,100.0,1,0,0,147.20
2026-05-29 11:46:33,30.90,CALIBRATING,0.264,0.655,48.8,7.6,-89.0,0.07,100.0,1,0,0,148.94
